stim_name,wtc_code,midi_path,n_notes,duration_s,notedensity_per_s,pitch_mean,pitch_std,pitch_min,pitch_max,duration_mean_s,duration_std_s,ioi_mean_s,ioi_std_s,ioi_cv,unique_onset_count
track1,wtc1p15,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p15_cut-ORIG-MIDI_02_7_6_13_Group__MID--AUDIO_07_R1_2013_wav--1.midi,603,50.6692708333333,12.5624541477597,62.6384742951907,10.2690700485348,38,84,0.102827874516307,0.121614229028465,0.0796022805924695,0.0519156476882308,0.652187943634647,594
track10,wtc1p03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p03_cut-MIDI-Unprocessed_049_PIANO049_MID--AUDIO-split_07-06-17_Piano-e_2-06_wav--1.midi,805,80.0416666666661,10.2802344166223,65.8708074534161,10.0215293104567,44,84,0.132920548654243,0.130628760449671,0.0972740464344937,0.0679838509553404,0.698889924365613,799
track11,wtc1p15,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p15_cut-MIDI-Unprocessed_15_R1_2008_01-04_ORIG_MID--AUDIO_15_R1_2008_wav--1.midi,612,47.9335937500001,13.0615153370817,62.7042483660131,10.3160743236218,38,84,0.100896565223312,0.109230917371358,0.0765607951445719,0.0425233659593563,0.555419596662472,606
track12,wtc1p04,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p04_cut-MIDI-Unprocessed_Recital4_MID--AUDIO_04_R1_2018_wav--1.midi,664,155.024739583334,4.3486177417564,63.6295180722892,10.4606467479691,36,84,0.94639103288153,0.866754190271224,0.229958129084968,0.180781525200626,0.786149747869222,650
track13,wtc1p15,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p15_cut-MIDI-Unprocessed_18_R1_2008_01-04_ORIG_MID--AUDIO_18_R1_2008_wav--1.midi,605,48.4218750000001,13.0264532434709,62.6595041322314,10.2975482399311,38,84,0.0978176652892565,0.0914543205242121,0.0767668667218545,0.0434055917670232,0.565420911658314,602
track14,wtc1p17,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p17_cut-ORIG-MIDI_01_7_6_13_Group__MID--AUDIO_04_R1_2013_wav--1.midi,680,68.8450520833333,10.2490566037736,62.3029411764706,9.64125234912813,39,82,0.151901424632353,0.202624445696329,0.0975699558173785,0.0868331294788412,0.889957659111444,666
track15,wtc1p03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p03_cut-ORIG-MIDI_01_7_7_13_Group__MID--AUDIO_12_R1_2013_wav--1.midi,809,71.1770833333334,11.7247477610248,65.8479604449938,10.0252341973295,44,84,0.118850110733416,0.214344927626902,0.0852896813118813,0.0521407014092057,0.611336572105848,800
track16,wtc1f05,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1f05_cut-MIDI-Unprocessed_18_R1_2011_MID--AUDIO_R1-D7_07_Track07_wav.midi,777,104.217447916666,7.68802487132191,62.7824967824968,10.8367836007549,38,83,0.259724568318316,0.357696021692399,0.130072419995704,0.190816776317254,1.46700412219252,758
track17,wtc2f07,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc2f07_cut-MIDI-Unprocessed_061_PIANO061_MID--AUDIO-split_07-07-17_Piano-e_2-05_wav--1.midi,691,113.205208333332,6.32840041654336,62.5817655571635,8.923355631088,39,84,0.462397491558121,0.497022664300768,0.15801781400966,0.183328804995289,1.16017808589658,676
track18,wtc2p01,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc2p01_cut-MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_17_R1_2015_wav--1.midi,834,143.408333333333,5.95376540222614,61.8776978417266,10.5549226796285,36,84,0.557953637090327,0.747979533174151,0.167960934373749,0.121105591032195,0.721034277903633,788
track19,wtc1p03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p03_cut-MIDI-Unprocessed_02_R1_2008_01-05_ORIG_MID--AUDIO_02_R1_2008_wav--1.midi,806,67.6901041666668,12.2710491842324,65.8461538461538,10.0457910024917,42,84,0.0873995166459888,0.0985323007379306,0.0814926242236027,0.0461877276250743,0.566771877395218,798
track2,wtc1p15,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p15_cut-MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--1.midi,611,46.8625,13.5333133045227,62.6824877250409,10.2733462726195,38,84,0.0852103791598473,0.139918643403102,0.0738917349726775,0.0503628410818103,0.681576107266024,595
track20,wtc2p24,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc2p24_cut-MIDI-Unprocessed_06_R1_2008_01-04_ORIG_MID--AUDIO_06_R1_2008_wav--1.midi,876,129.44921875,6.90321122593636,62.4235159817352,9.00830572754317,38,81,0.259719546708524,0.264096698671606,0.144860119047619,0.127371631315502,0.879273275163003,871
track21,wtc1f05,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1f05_cut-MIDI-Unprocessed_053_PIANO053_MID--AUDIO-split_07-06-17_Piano-e_3-04_wav--1.midi,793,133.308333333331,6.09572676982294,62.2900378310214,11.3754393465417,26,83,0.391317255149215,0.464243767511452,0.164049347643094,0.256790375372534,1.56532396539124,775
track22,wtc2f07,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc2f07_cut-MIDI-Unprocessed_13_R1_2011_MID--AUDIO_R1-D5_02_Track02_wav.midi,704,88.9908854166667,8.18259525325088,62.6107954545455,8.89078333921394,39,84,0.28222841205019,0.367014764821454,0.122210615220484,0.140466699732422,1.14938215047034,685
track23,wtc1p03,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p03_cut-MIDI-Unprocessed_24_R1_2011_MID--AUDIO_R1-D9_08_Track08_wav.midi,810,70.9973958333334,11.6573229764719,65.8382716049383,10.0228301555316,44,84,0.107526363168724,0.147626421922811,0.0857829882571076,0.0492829521535436,0.574507290487869,803
track24,wtc1p17,/Volumes/SSD/Tapping/Data/GlobalTap_v1.0/bach_subrepo/alltracks-midi/wtc1p17_cut-MIDI-Unprocessed_13_R1_2008_01-04_ORIG_MID--AUDIO_13_R1_2008_wav--1.midi,672,74.0169270833333,9.34767545212138,62.3779761904762,9.63042821539888,39,82,0.124236576140873,0.154246849539257,0.106978468082464,0.0956081078133726,0.893713562430838,660
